service,category,ports,iana_descriptions,nmap_descriptions,iana_references,rationale,additional_source,evidence_basis,cisco_category,cisco_subcategory,cisco_source
actifioreplic,storage,5107/tcp,Disk to Disk replication between Actifio Clusters,Disk to Disk replication between Actifio Clusters,,"Block/storage infrastructure, storage replication, tape access, or storage data movement.",,registry description / named protocol interpretation,,,
actifioudsagent,other,5106/tcp,Actifio UDS Agent,Actifio UDS Agent,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
active-net,other,3322/tcp; 3322/udp; 3323/tcp; 3323/udp; 3324/tcp; 3324/udp; 3325/tcp; 3325/udp,Active Networks,Active Networks,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
activememory,other,2859/tcp; 2859/udp,Active Memory,Active Memory,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
activesync,other,5679/tcp,ActiveSync Notifications,dccm | Microsoft ActiveSync PDY synchronization | Direct Cable Connect Manager,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,business-and-productivity-tools,enterprise-transactional-apps,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html
activesync-notify,other,1034/udp,,Windows Mobile device ActiveSync Notifications,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
actnet,other,5411/tcp; 5411/udp,ActNet,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ada-cip,other,2085/tcp; 2085/udp,ADA Control,ADA Control,,Specialized device/product label without sufficient documented functional context in the reviewed sources.,,fallback; see rationale,,,
adap,discovery,6350/tcp; 6350/udp,App Discovery and Access Protocol,App Discovery and Access Protocol,,"Named directory, service location, name binding, endpoint mapping, or discovery service.",,registry description / named protocol interpretation,,,
adapt-sna,other,1365/tcp; 1365/udp,Network Software Associates,Network Software Associates,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
adaptecmgr,management,2521/tcp; 2521/udp,Adaptec Manager,Adaptec Manager,,Documented purpose: Manager,,registry description / named protocol interpretation,,,
adcp,management,7508/tcp,Automation Device Configuration Protocol,Automation Device Configuration Protocol,,"Named endpoint provides administration, configuration, diagnostics, monitoring, or system management; its transport does not determine the category.",,registry description / named protocol interpretation,,,
adi-gxp-srvprt,other,6769/tcp; 6769/udp,ADInstruments GxP Server,ADInstruments GxP Server,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
admd,other,5100/tcp,,socalia | (chili!soft asp admin port) or Yahoo pager | Socalia service mux,,"Specialized application or insufficiently specific purpose; generic words such as media, router, management, or discovery do not establish a matching core service function.",,fallback; see rationale,,,
admdog,other,5101/tcp,,talarian-udp | talarian-tcp | (chili!soft asp) | Talarian_TCP | Talarian_UDP,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
admeng,other,5102/tcp,,oms-nonsecure | (chili!soft asp) | Oracle OMS non-secure,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
admind,management,3279/tcp; 3279/udp; 8403/tcp; 8403/udp,admind,,,"Device/system administration, status, or management identified by the service label and registry description.",,registry description / named protocol interpretation,,,
admins-lms,other,2692/tcp; 2692/udp,Admins LMS,Admins LMS,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
adobeserver-1,other,1102/tcp; 1102/udp,ADOBE SERVER 1,ADOBE SERVER 1,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
adobeserver-2,other,1103/udp,ADOBE SERVER 2,ADOBE SERVER 2,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
adobeserver-3,other,3703/tcp; 3703/udp,Adobe Server 3,Adobe Server 3,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
adobeserver-4,other,3704/tcp; 3704/udp,Adobe Server 4,Adobe Server 4,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
adobeserver-5,other,3705/tcp; 3705/udp,Adobe Server 5,Adobe Server 5,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
adrep,identity,3954/tcp; 3954/udp,AD Replication RPC,AD Replication RPC,,"Directory replication, authentication/authorization, identity lifecycle, or cryptographic key/certificate distribution.",,registry description / named protocol interpretation,,,
ads,other,2550/tcp; 2550/udp,ADS,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ads-c,other,5913/tcp; 5913/udp,Automatic Dependent Surveillance,Automatic Dependent Surveillance | aoc-acars | Automatic Dependent Surveillance | Airline operational communications applications using ACARS,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
ads-s,industrial,8016/tcp,Beckhoff Automation Device Specification,Beckhoff Automation Device Specification,,"Physical device/process automation, industrial control, metering, building control, robotics, or industrial telemetry.",,registry description / named protocol interpretation,,,
adtech-test,other,3357/tcp; 3357/udp,Adtech Test IP,Adtech Test IP,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
adtempusclient,other,3760/tcp; 3760/udp,adTEmpus Client | adTempus Client,adTEmpus Client | adTempus Client | adTEmpus Client,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
advant-lm,licensing,2295/tcp; 2295/udp,Advant License Manager,Advant License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
adws,identity,9389/tcp,Active Directory Web Services,Active Directory Web Services,,Documented purpose: Active Directory,,registry description / named protocol interpretation,,,
aed-512,other,149/tcp; 149/udp,AED 512 Emulation Service,AED 512 Emulation Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,other,other,https://www.cisco.com/c/en/us/td/docs/ios-xml/ios/qos_nbar/prot_lib/protocol-reference/nbar-protocol-reference/a.html
aegate,other,4549/tcp; 4549/udp,Aegate PMR Service,Aegate PMR Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
aequus,other,23456/tcp,Aequus Service,Aequus Service,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
aequus-alt,management,23457/tcp,Aequus Service Mgmt,Aequus Service Mgmt,,"Device/system administration, status, or management identified by the service label and registry description.",,registry description / named protocol interpretation,,,
aero,network,8060/tcp,Asymmetric Extended Route Optimization (AERO),Asymmetric Extended Route Optimization (AERO),[RFC6706],Documented purpose: Route Optimization,,registry description / named protocol interpretation,,,
aeroflight-ads,other,1218/tcp; 1218/udp,AeroFlight-ADs,AeroFlight ADs,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
aeroflight-ret,other,1219/tcp; 1219/udp,AeroFlight-Ret,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
aes-discovery,discovery,3224/tcp; 3224/udp,AES Discovery Port,AES Discovery Port,,"Named directory, service location, name binding, endpoint mapping, or discovery service.",,registry description / named protocol interpretation,,,
aes-x170,other,7107/tcp,AES-X170,,,"A likely purpose can be guessed from the abbreviated product/service name, but the available description is insufficient for a defensible specific assignment.",,fallback; see rationale,,,
aesop,media,8202/tcp,Audio+Ethernet Standard Open Protocol,Audio+Ethernet Standard Open Protocol,,Documented purpose: Audio,,registry description / named protocol interpretation,,,
af,media,1411/tcp; 1411/udp,AudioFile,AudioFile,,"Audio/video, voice calling, audiovisual device operation, or broadcast media workflow.",,registry description / named protocol interpretation,,,
afesc-mc,other,6628/tcp; 6628/udp,AFE Stock Channel M/C,AFE Stock Channel M/C,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
affiliate,other,6579/tcp; 6579/udp,Affiliate,,,"The registry entry was reviewed, but does not establish a core service category with sufficient specificity.",,fallback; see rationale,,,
afore-vdp-disc,discovery,4362/tcp,AFORE vNode Discovery protocol,AFORE vNode Discovery protocol,,"Named directory, service location, name binding, endpoint mapping, or discovery service.",,registry description / named protocol interpretation,,,
afp,files,548/tcp; 548/udp,,AFP over UDP | afpovertcp | AFP over TCP,,Documented purpose: AFP,,registry description / named protocol interpretation,,,
afrog,network,1042/tcp; 1042/udp,Subnet Roaming,Subnet Roaming,,"Network/telecom signaling, bootstrap, routing, or interconnection. Protocol-specific refinements override this group below.",,registry description / named protocol interpretation,,,
afs,licensing,1483/tcp; 1483/udp,AFS License Manager,AFS License Manager,,Software license management/verification identified in the source description.,,registry description / named protocol interpretation,,,
afs3-bos,management,7007/tcp; 7007/udp,basic overseer process,basic overseer process,,"Named endpoint provides administration, configuration, diagnostics, monitoring, or system management; its transport does not determine the category.",,registry description / named protocol interpretation,,,
